EPOCH=001,Accuracy= 42.360%
EPOCH=002,Accuracy= 54.070%
EPOCH=003,Accuracy= 63.540%
EPOCH=004,Accuracy= 66.670%
EPOCH=005,Accuracy= 69.600%
EPOCH=006,Accuracy= 77.370%
EPOCH=007,Accuracy= 76.700%
EPOCH=008,Accuracy= 76.930%
EPOCH=009,Accuracy= 77.510%
EPOCH=010,Accuracy= 75.630%
EPOCH=011,Accuracy= 79.820%
EPOCH=012,Accuracy= 76.340%
EPOCH=013,Accuracy= 79.160%
EPOCH=014,Accuracy= 76.290%
EPOCH=015,Accuracy= 80.450%
EPOCH=016,Accuracy= 82.110%
EPOCH=017,Accuracy= 79.290%
EPOCH=018,Accuracy= 83.750%
EPOCH=019,Accuracy= 81.140%
EPOCH=020,Accuracy= 82.380%
EPOCH=021,Accuracy= 83.180%
EPOCH=022,Accuracy= 84.630%
EPOCH=023,Accuracy= 82.980%
EPOCH=024,Accuracy= 84.670%
EPOCH=025,Accuracy= 84.170%
EPOCH=026,Accuracy= 84.530%
EPOCH=027,Accuracy= 82.010%
EPOCH=028,Accuracy= 83.360%
EPOCH=029,Accuracy= 82.050%
EPOCH=030,Accuracy= 82.170%
EPOCH=031,Accuracy= 81.630%
EPOCH=032,Accuracy= 81.460%
EPOCH=033,Accuracy= 82.220%
EPOCH=034,Accuracy= 82.970%
EPOCH=035,Accuracy= 84.180%
EPOCH=036,Accuracy= 83.930%
EPOCH=037,Accuracy= 83.730%
EPOCH=038,Accuracy= 84.430%
EPOCH=039,Accuracy= 84.540%
EPOCH=040,Accuracy= 80.830%
EPOCH=041,Accuracy= 84.660%
EPOCH=042,Accuracy= 82.420%
EPOCH=043,Accuracy= 81.300%
EPOCH=044,Accuracy= 83.580%
EPOCH=045,Accuracy= 83.050%
EPOCH=046,Accuracy= 81.920%
EPOCH=047,Accuracy= 84.260%
EPOCH=048,Accuracy= 85.090%
EPOCH=049,Accuracy= 84.480%
EPOCH=050,Accuracy= 85.920%
EPOCH=051,Accuracy= 85.320%
EPOCH=052,Accuracy= 80.690%
EPOCH=053,Accuracy= 82.380%
EPOCH=054,Accuracy= 85.720%
EPOCH=055,Accuracy= 84.020%
EPOCH=056,Accuracy= 81.860%
EPOCH=057,Accuracy= 82.980%
EPOCH=058,Accuracy= 85.260%
EPOCH=059,Accuracy= 85.490%
EPOCH=060,Accuracy= 81.770%
EPOCH=061,Accuracy= 86.550%
EPOCH=062,Accuracy= 75.410%
EPOCH=063,Accuracy= 84.810%
EPOCH=064,Accuracy= 85.160%
EPOCH=065,Accuracy= 80.850%
EPOCH=066,Accuracy= 84.270%
EPOCH=067,Accuracy= 86.300%
EPOCH=068,Accuracy= 85.570%
EPOCH=069,Accuracy= 85.840%
EPOCH=070,Accuracy= 83.190%
EPOCH=071,Accuracy= 83.270%
EPOCH=072,Accuracy= 85.390%
EPOCH=073,Accuracy= 83.620%
EPOCH=074,Accuracy= 83.260%
EPOCH=075,Accuracy= 84.350%
EPOCH=076,Accuracy= 82.160%
EPOCH=077,Accuracy= 85.690%
EPOCH=078,Accuracy= 82.180%
EPOCH=079,Accuracy= 81.110%
EPOCH=080,Accuracy= 85.060%
EPOCH=081,Accuracy= 85.380%
EPOCH=082,Accuracy= 91.900%
EPOCH=083,Accuracy= 92.320%
EPOCH=084,Accuracy= 92.760%
EPOCH=085,Accuracy= 92.960%
EPOCH=086,Accuracy= 93.110%
EPOCH=087,Accuracy= 93.070%
EPOCH=088,Accuracy= 93.130%
EPOCH=089,Accuracy= 93.130%
EPOCH=090,Accuracy= 92.850%
EPOCH=091,Accuracy= 92.960%
EPOCH=092,Accuracy= 93.280%
EPOCH=093,Accuracy= 93.120%
EPOCH=094,Accuracy= 93.410%
EPOCH=095,Accuracy= 93.170%
EPOCH=096,Accuracy= 93.220%
EPOCH=097,Accuracy= 93.240%
EPOCH=098,Accuracy= 93.390%
EPOCH=099,Accuracy= 93.240%
EPOCH=100,Accuracy= 93.210%
