EPOCH=001,Accuracy= 20.240%
EPOCH=002,Accuracy= 35.460%
EPOCH=003,Accuracy= 32.460%
EPOCH=004,Accuracy= 51.360%
EPOCH=005,Accuracy= 46.160%
EPOCH=006,Accuracy= 45.350%
EPOCH=007,Accuracy= 62.860%
EPOCH=008,Accuracy= 65.180%
EPOCH=009,Accuracy= 59.800%
EPOCH=010,Accuracy= 68.760%
EPOCH=011,Accuracy= 48.540%
EPOCH=012,Accuracy= 68.670%
EPOCH=013,Accuracy= 58.480%
EPOCH=014,Accuracy= 69.860%
EPOCH=015,Accuracy= 70.600%
EPOCH=016,Accuracy= 74.730%
EPOCH=017,Accuracy= 58.720%
EPOCH=018,Accuracy= 72.160%
EPOCH=019,Accuracy= 72.340%
EPOCH=020,Accuracy= 67.790%
EPOCH=021,Accuracy= 64.030%
EPOCH=022,Accuracy= 67.100%
EPOCH=023,Accuracy= 71.190%
EPOCH=024,Accuracy= 74.060%
EPOCH=025,Accuracy= 65.930%
EPOCH=026,Accuracy= 64.780%
EPOCH=027,Accuracy= 72.720%
EPOCH=028,Accuracy= 46.750%
EPOCH=029,Accuracy= 67.060%
EPOCH=030,Accuracy= 70.070%
EPOCH=031,Accuracy= 72.930%
EPOCH=032,Accuracy= 74.280%
EPOCH=033,Accuracy= 71.640%
EPOCH=034,Accuracy= 65.190%
EPOCH=035,Accuracy= 70.600%
EPOCH=036,Accuracy= 56.250%
EPOCH=037,Accuracy= 70.370%
EPOCH=038,Accuracy= 72.250%
EPOCH=039,Accuracy= 54.450%
EPOCH=040,Accuracy= 73.320%
EPOCH=041,Accuracy= 75.790%
EPOCH=042,Accuracy= 72.070%
EPOCH=043,Accuracy= 67.100%
EPOCH=044,Accuracy= 74.360%
EPOCH=045,Accuracy= 67.060%
EPOCH=046,Accuracy= 67.060%
EPOCH=047,Accuracy= 73.040%
EPOCH=048,Accuracy= 67.160%
EPOCH=049,Accuracy= 74.540%
EPOCH=050,Accuracy= 60.400%
EPOCH=051,Accuracy= 67.140%
EPOCH=052,Accuracy= 70.010%
EPOCH=053,Accuracy= 65.210%
EPOCH=054,Accuracy= 70.060%
EPOCH=055,Accuracy= 69.170%
EPOCH=056,Accuracy= 66.030%
EPOCH=057,Accuracy= 73.700%
EPOCH=058,Accuracy= 74.580%
EPOCH=059,Accuracy= 62.120%
EPOCH=060,Accuracy= 72.490%
EPOCH=061,Accuracy= 71.980%
EPOCH=062,Accuracy= 74.990%
EPOCH=063,Accuracy= 69.490%
EPOCH=064,Accuracy= 50.940%
EPOCH=065,Accuracy= 71.510%
EPOCH=066,Accuracy= 59.740%
EPOCH=067,Accuracy= 74.110%
EPOCH=068,Accuracy= 69.500%
EPOCH=069,Accuracy= 62.260%
EPOCH=070,Accuracy= 57.480%
EPOCH=071,Accuracy= 67.670%
EPOCH=072,Accuracy= 67.020%
EPOCH=073,Accuracy= 73.220%
EPOCH=074,Accuracy= 73.270%
EPOCH=075,Accuracy= 67.330%
EPOCH=076,Accuracy= 74.520%
EPOCH=077,Accuracy= 64.820%
EPOCH=078,Accuracy= 72.500%
EPOCH=079,Accuracy= 77.060%
EPOCH=080,Accuracy= 74.310%
EPOCH=081,Accuracy= 61.590%
EPOCH=082,Accuracy= 75.330%
EPOCH=083,Accuracy= 71.500%
EPOCH=084,Accuracy= 77.520%
EPOCH=085,Accuracy= 68.040%
EPOCH=086,Accuracy= 73.040%
EPOCH=087,Accuracy= 68.980%
EPOCH=088,Accuracy= 60.270%
EPOCH=089,Accuracy= 73.710%
EPOCH=090,Accuracy= 76.050%
EPOCH=091,Accuracy= 66.830%
EPOCH=092,Accuracy= 68.050%
EPOCH=093,Accuracy= 77.780%
EPOCH=094,Accuracy= 63.810%
EPOCH=095,Accuracy= 67.060%
EPOCH=096,Accuracy= 71.790%
EPOCH=097,Accuracy= 55.570%
EPOCH=098,Accuracy= 74.130%
EPOCH=099,Accuracy= 74.990%
EPOCH=100,Accuracy= 75.220%
EPOCH=101,Accuracy= 52.750%
EPOCH=102,Accuracy= 70.030%
EPOCH=103,Accuracy= 68.000%
EPOCH=104,Accuracy= 68.020%
EPOCH=105,Accuracy= 43.160%
EPOCH=106,Accuracy= 72.630%
EPOCH=107,Accuracy= 70.130%
EPOCH=108,Accuracy= 69.200%
EPOCH=109,Accuracy= 64.110%
EPOCH=110,Accuracy= 57.510%
