001  00001 |Loss: 2.418 | Acc: 8.594% 
001  00002 |Loss: 2.617 | Acc: 11.328% 
001  00003 |Loss: 2.844 | Acc: 12.500% 
001  00004 |Loss: 3.294 | Acc: 12.305% 
001  00005 |Loss: 3.671 | Acc: 12.500% 
001  00006 |Loss: 4.240 | Acc: 13.411% 
001  00007 |Loss: 4.544 | Acc: 13.728% 
001  00008 |Loss: 4.817 | Acc: 13.770% 
001  00009 |Loss: 4.901 | Acc: 13.368% 
001  00010 |Loss: 4.970 | Acc: 13.281% 
001  00011 |Loss: 4.918 | Acc: 12.855% 
001  00012 |Loss: 4.774 | Acc: 13.021% 
001  00013 |Loss: 4.732 | Acc: 12.740% 
001  00014 |Loss: 4.569 | Acc: 12.723% 
001  00015 |Loss: 4.520 | Acc: 12.708% 
001  00016 |Loss: 4.589 | Acc: 12.842% 
001  00017 |Loss: 4.506 | Acc: 12.822% 
001  00018 |Loss: 4.438 | Acc: 12.500% 
001  00019 |Loss: 4.353 | Acc: 12.377% 
001  00020 |Loss: 4.301 | Acc: 12.344% 
001  00021 |Loss: 4.231 | Acc: 12.277% 
001  00022 |Loss: 4.192 | Acc: 12.251% 
001  00023 |Loss: 4.121 | Acc: 12.602% 
001  00024 |Loss: 4.068 | Acc: 12.760% 
001  00025 |Loss: 4.023 | Acc: 12.812% 
001  00026 |Loss: 3.960 | Acc: 12.650% 
001  00027 |Loss: 3.907 | Acc: 12.818% 
001  00028 |Loss: 3.856 | Acc: 12.807% 
001  00029 |Loss: 3.836 | Acc: 12.742% 
001  00030 |Loss: 3.815 | Acc: 12.995% 
001  00031 |Loss: 3.796 | Acc: 13.180% 
001  00032 |Loss: 3.779 | Acc: 13.281% 
001  00033 |Loss: 3.733 | Acc: 13.447% 
001  00034 |Loss: 3.691 | Acc: 13.557% 
001  00035 |Loss: 3.652 | Acc: 13.683% 
001  00036 |Loss: 3.619 | Acc: 13.867% 
001  00037 |Loss: 3.587 | Acc: 13.915% 
001  00038 |Loss: 3.553 | Acc: 14.042% 
001  00039 |Loss: 3.529 | Acc: 14.002% 
001  00040 |Loss: 3.498 | Acc: 13.945% 
001  00041 |Loss: 3.474 | Acc: 13.891% 
001  00042 |Loss: 3.451 | Acc: 13.876% 
001  00043 |Loss: 3.421 | Acc: 13.953% 
001  00044 |Loss: 3.395 | Acc: 13.920% 
001  00045 |Loss: 3.368 | Acc: 14.010% 
001  00046 |Loss: 3.350 | Acc: 14.062% 
001  00047 |Loss: 3.329 | Acc: 14.096% 
001  00048 |Loss: 3.308 | Acc: 14.144% 
001  00049 |Loss: 3.288 | Acc: 14.270% 
001  00050 |Loss: 3.270 | Acc: 14.422% 
001  00051 |Loss: 3.249 | Acc: 14.491% 
001  00052 |Loss: 3.234 | Acc: 14.618% 
001  00053 |Loss: 3.216 | Acc: 14.578% 
001  00054 |Loss: 3.195 | Acc: 14.627% 
001  00055 |Loss: 3.174 | Acc: 14.702% 
001  00056 |Loss: 3.152 | Acc: 14.914% 
001  00057 |Loss: 3.135 | Acc: 15.022% 
001  00058 |Loss: 3.118 | Acc: 15.127% 
001  00059 |Loss: 3.102 | Acc: 15.162% 
001  00060 |Loss: 3.085 | Acc: 15.247% 
001  00061 |Loss: 3.071 | Acc: 15.215% 
001  00062 |Loss: 3.056 | Acc: 15.247% 
001  00063 |Loss: 3.040 | Acc: 15.303% 
001  00064 |Loss: 3.025 | Acc: 15.356% 
001  00065 |Loss: 3.009 | Acc: 15.529% 
001  00066 |Loss: 2.994 | Acc: 15.661% 
001  00067 |Loss: 2.980 | Acc: 15.707% 
001  00068 |Loss: 2.966 | Acc: 15.809% 
001  00069 |Loss: 2.952 | Acc: 15.931% 
001  00070 |Loss: 2.938 | Acc: 16.004% 
001  00071 |Loss: 2.927 | Acc: 16.032% 
001  00072 |Loss: 2.916 | Acc: 16.026% 
001  00073 |Loss: 2.904 | Acc: 16.160% 
001  00074 |Loss: 2.893 | Acc: 16.269% 
001  00075 |Loss: 2.881 | Acc: 16.406% 
001  00076 |Loss: 2.871 | Acc: 16.509% 
001  00077 |Loss: 2.860 | Acc: 16.670% 
001  00078 |Loss: 2.850 | Acc: 16.777% 
001  00079 |Loss: 2.841 | Acc: 16.881% 
001  00080 |Loss: 2.830 | Acc: 16.924% 
001  00081 |Loss: 2.820 | Acc: 16.975% 
001  00082 |Loss: 2.811 | Acc: 17.006% 
001  00083 |Loss: 2.801 | Acc: 17.084% 
001  00084 |Loss: 2.792 | Acc: 17.197% 
001  00085 |Loss: 2.783 | Acc: 17.261% 
001  00086 |Loss: 2.774 | Acc: 17.324% 
001  00087 |Loss: 2.765 | Acc: 17.412% 
001  00088 |Loss: 2.757 | Acc: 17.489% 
001  00089 |Loss: 2.748 | Acc: 17.600% 
001  00090 |Loss: 2.740 | Acc: 17.648% 
001  00091 |Loss: 2.731 | Acc: 17.746% 
001  00092 |Loss: 2.723 | Acc: 17.841% 
001  00093 |Loss: 2.715 | Acc: 17.969% 
001  00094 |Loss: 2.708 | Acc: 17.985% 
001  00095 |Loss: 2.700 | Acc: 18.100% 
001  00096 |Loss: 2.691 | Acc: 18.213% 
001  00097 |Loss: 2.683 | Acc: 18.339% 
001  00098 |Loss: 2.676 | Acc: 18.479% 
001  00099 |Loss: 2.669 | Acc: 18.521% 
001  00100 |Loss: 2.661 | Acc: 18.711% 
001  00101 |Loss: 2.653 | Acc: 18.843% 
001  00102 |Loss: 2.646 | Acc: 18.934% 
001  00103 |Loss: 2.639 | Acc: 19.053% 
001  00104 |Loss: 2.632 | Acc: 19.156% 
001  00105 |Loss: 2.626 | Acc: 19.226% 
001  00106 |Loss: 2.620 | Acc: 19.273% 
001  00107 |Loss: 2.613 | Acc: 19.385% 
001  00108 |Loss: 2.607 | Acc: 19.488% 
001  00109 |Loss: 2.602 | Acc: 19.531% 
001  00110 |Loss: 2.596 | Acc: 19.609% 
001  00111 |Loss: 2.590 | Acc: 19.686% 
001  00112 |Loss: 2.585 | Acc: 19.727% 
001  00113 |Loss: 2.579 | Acc: 19.746% 
001  00114 |Loss: 2.573 | Acc: 19.751% 
001  00115 |Loss: 2.568 | Acc: 19.796% 
001  00116 |Loss: 2.562 | Acc: 19.814% 
001  00117 |Loss: 2.557 | Acc: 19.905% 
001  00118 |Loss: 2.551 | Acc: 19.948% 
001  00119 |Loss: 2.545 | Acc: 20.043% 
001  00120 |Loss: 2.540 | Acc: 20.091% 
001  00121 |Loss: 2.535 | Acc: 20.196% 
001  00122 |Loss: 2.529 | Acc: 20.287% 
001  00123 |Loss: 2.524 | Acc: 20.363% 
001  00124 |Loss: 2.517 | Acc: 20.470% 
001  00125 |Loss: 2.514 | Acc: 20.531% 
001  00126 |Loss: 2.509 | Acc: 20.523% 
001  00127 |Loss: 2.505 | Acc: 20.589% 
001  00128 |Loss: 2.500 | Acc: 20.679% 
001  00129 |Loss: 2.494 | Acc: 20.809% 
001  00130 |Loss: 2.491 | Acc: 20.817% 
001  00131 |Loss: 2.486 | Acc: 20.909% 
001  00132 |Loss: 2.482 | Acc: 20.904% 
001  00133 |Loss: 2.477 | Acc: 20.935% 
001  00134 |Loss: 2.474 | Acc: 20.960% 
001  00135 |Loss: 2.469 | Acc: 20.990% 
001  00136 |Loss: 2.465 | Acc: 21.025% 
001  00137 |Loss: 2.460 | Acc: 21.094% 
001  00138 |Loss: 2.456 | Acc: 21.241% 
001  00139 |Loss: 2.451 | Acc: 21.307% 
001  00140 |Loss: 2.447 | Acc: 21.323% 
001  00141 |Loss: 2.443 | Acc: 21.354% 
001  00142 |Loss: 2.439 | Acc: 21.402% 
001  00143 |Loss: 2.436 | Acc: 21.443% 
001  00144 |Loss: 2.432 | Acc: 21.490% 
001  00145 |Loss: 2.428 | Acc: 21.541% 
001  00146 |Loss: 2.425 | Acc: 21.607% 
001  00147 |Loss: 2.422 | Acc: 21.620% 
001  00148 |Loss: 2.418 | Acc: 21.685% 
001  00149 |Loss: 2.415 | Acc: 21.733% 
001  00150 |Loss: 2.411 | Acc: 21.786% 
001  00151 |Loss: 2.408 | Acc: 21.818% 
001  00152 |Loss: 2.405 | Acc: 21.844% 
001  00153 |Loss: 2.401 | Acc: 21.916% 
001  00154 |Loss: 2.398 | Acc: 21.976% 
001  00155 |Loss: 2.394 | Acc: 22.041% 
001  00156 |Loss: 2.390 | Acc: 22.100% 
001  00157 |Loss: 2.386 | Acc: 22.184% 
001  00158 |Loss: 2.383 | Acc: 22.241% 
001  00159 |Loss: 2.380 | Acc: 22.263% 
001  00160 |Loss: 2.377 | Acc: 22.275% 
001  00161 |Loss: 2.373 | Acc: 22.326% 
001  00162 |Loss: 2.370 | Acc: 22.410% 
001  00163 |Loss: 2.366 | Acc: 22.469% 
001  00164 |Loss: 2.363 | Acc: 22.499% 
001  00165 |Loss: 2.360 | Acc: 22.524% 
001  00166 |Loss: 2.357 | Acc: 22.586% 
001  00167 |Loss: 2.354 | Acc: 22.572% 
001  00168 |Loss: 2.352 | Acc: 22.614% 
001  00169 |Loss: 2.349 | Acc: 22.624% 
001  00170 |Loss: 2.346 | Acc: 22.684% 
001  00171 |Loss: 2.343 | Acc: 22.720% 
001  00172 |Loss: 2.339 | Acc: 22.802% 
001  00173 |Loss: 2.336 | Acc: 22.846% 
001  00174 |Loss: 2.333 | Acc: 22.917% 
001  00175 |Loss: 2.330 | Acc: 22.964% 
001  00176 |Loss: 2.328 | Acc: 22.994% 
001  00177 |Loss: 2.325 | Acc: 23.062% 
001  00178 |Loss: 2.322 | Acc: 23.135% 
001  00179 |Loss: 2.319 | Acc: 23.197% 
001  00180 |Loss: 2.316 | Acc: 23.216% 
001  00181 |Loss: 2.313 | Acc: 23.248% 
001  00182 |Loss: 2.311 | Acc: 23.240% 
001  00183 |Loss: 2.309 | Acc: 23.275% 
001  00184 |Loss: 2.306 | Acc: 23.348% 
001  00185 |Loss: 2.304 | Acc: 23.387% 
001  00186 |Loss: 2.302 | Acc: 23.471% 
001  00187 |Loss: 2.299 | Acc: 23.542% 
001  00188 |Loss: 2.296 | Acc: 23.579% 
001  00189 |Loss: 2.293 | Acc: 23.640% 
001  00190 |Loss: 2.291 | Acc: 23.709% 
001  00191 |Loss: 2.288 | Acc: 23.769% 
001  00192 |Loss: 2.285 | Acc: 23.832% 
001  00193 |Loss: 2.283 | Acc: 23.858% 
001  00194 |Loss: 2.280 | Acc: 23.941% 
001  00195 |Loss: 2.278 | Acc: 23.982% 
001  00196 |Loss: 2.275 | Acc: 24.023% 
001  00197 |Loss: 2.273 | Acc: 24.080% 
001  00198 |Loss: 2.270 | Acc: 24.152% 
001  00199 |Loss: 2.268 | Acc: 24.164% 
001  00200 |Loss: 2.267 | Acc: 24.184% 
001  00201 |Loss: 2.264 | Acc: 24.230% 
001  00202 |Loss: 2.262 | Acc: 24.277% 
001  00203 |Loss: 2.260 | Acc: 24.323% 
001  00204 |Loss: 2.257 | Acc: 24.383% 
001  00205 |Loss: 2.255 | Acc: 24.405% 
001  00206 |Loss: 2.252 | Acc: 24.461% 
001  00207 |Loss: 2.250 | Acc: 24.536% 
001  00208 |Loss: 2.247 | Acc: 24.579% 
001  00209 |Loss: 2.245 | Acc: 24.637% 
001  00210 |Loss: 2.243 | Acc: 24.669% 
001  00211 |Loss: 2.241 | Acc: 24.722% 
001  00212 |Loss: 2.238 | Acc: 24.764% 
001  00213 |Loss: 2.236 | Acc: 24.784% 
001  00214 |Loss: 2.234 | Acc: 24.810% 
001  00215 |Loss: 2.232 | Acc: 24.826% 
001  00216 |Loss: 2.230 | Acc: 24.855% 
001  00217 |Loss: 2.228 | Acc: 24.888% 
001  00218 |Loss: 2.226 | Acc: 24.925% 
001  00219 |Loss: 2.224 | Acc: 24.982% 
001  00220 |Loss: 2.222 | Acc: 25.004% 
001  00221 |Loss: 2.220 | Acc: 25.011% 
001  00222 |Loss: 2.217 | Acc: 25.095% 
001  00223 |Loss: 2.215 | Acc: 25.133% 
001  00224 |Loss: 2.213 | Acc: 25.140% 
001  00225 |Loss: 2.211 | Acc: 25.167% 
001  00226 |Loss: 2.210 | Acc: 25.200% 
001  00227 |Loss: 2.207 | Acc: 25.255% 
001  00228 |Loss: 2.204 | Acc: 25.356% 
001  00229 |Loss: 2.202 | Acc: 25.416% 
001  00230 |Loss: 2.200 | Acc: 25.469% 
001  00231 |Loss: 2.198 | Acc: 25.463% 
001  00232 |Loss: 2.196 | Acc: 25.495% 
001  00233 |Loss: 2.194 | Acc: 25.530% 
001  00234 |Loss: 2.192 | Acc: 25.561% 
001  00235 |Loss: 2.190 | Acc: 25.578% 
001  00236 |Loss: 2.189 | Acc: 25.612% 
001  00237 |Loss: 2.187 | Acc: 25.646% 
001  00238 |Loss: 2.184 | Acc: 25.709% 
001  00239 |Loss: 2.183 | Acc: 25.749% 
001  00240 |Loss: 2.180 | Acc: 25.820% 
001  00241 |Loss: 2.179 | Acc: 25.849% 
001  00242 |Loss: 2.176 | Acc: 25.888% 
001  00243 |Loss: 2.174 | Acc: 25.942% 
001  00244 |Loss: 2.172 | Acc: 25.996% 
001  00245 |Loss: 2.170 | Acc: 26.040% 
001  00246 |Loss: 2.168 | Acc: 26.064% 
001  00247 |Loss: 2.166 | Acc: 26.098% 
001  00248 |Loss: 2.164 | Acc: 26.140% 
001  00249 |Loss: 2.163 | Acc: 26.170% 
001  00250 |Loss: 2.161 | Acc: 26.209% 
001  00251 |Loss: 2.159 | Acc: 26.239% 
001  00252 |Loss: 2.158 | Acc: 26.290% 
001  00253 |Loss: 2.156 | Acc: 26.343% 
001  00254 |Loss: 2.154 | Acc: 26.381% 
001  00255 |Loss: 2.153 | Acc: 26.406% 
001  00256 |Loss: 2.152 | Acc: 26.419% 
001  00257 |Loss: 2.150 | Acc: 26.450% 
001  00258 |Loss: 2.148 | Acc: 26.499% 
001  00259 |Loss: 2.147 | Acc: 26.550% 
001  00260 |Loss: 2.145 | Acc: 26.562% 
001  00261 |Loss: 2.144 | Acc: 26.557% 
001  00262 |Loss: 2.143 | Acc: 26.595% 
001  00263 |Loss: 2.141 | Acc: 26.643% 
001  00264 |Loss: 2.139 | Acc: 26.666% 
001  00265 |Loss: 2.138 | Acc: 26.672% 
001  00266 |Loss: 2.136 | Acc: 26.701% 
001  00267 |Loss: 2.135 | Acc: 26.729% 
001  00268 |Loss: 2.133 | Acc: 26.772% 
001  00269 |Loss: 2.131 | Acc: 26.806% 
001  00270 |Loss: 2.129 | Acc: 26.852% 
001  00271 |Loss: 2.128 | Acc: 26.877% 
001  00272 |Loss: 2.126 | Acc: 26.913% 
001  00273 |Loss: 2.125 | Acc: 26.946% 
001  00274 |Loss: 2.123 | Acc: 26.993% 
001  00275 |Loss: 2.121 | Acc: 27.054% 
001  00276 |Loss: 2.119 | Acc: 27.103% 
001  00277 |Loss: 2.118 | Acc: 27.135% 
001  00278 |Loss: 2.117 | Acc: 27.178% 
001  00279 |Loss: 2.115 | Acc: 27.215% 
001  00280 |Loss: 2.114 | Acc: 27.238% 
001  00281 |Loss: 2.114 | Acc: 27.255% 
001  00282 |Loss: 2.112 | Acc: 27.274% 
001  00283 |Loss: 2.111 | Acc: 27.333% 
001  00284 |Loss: 2.110 | Acc: 27.352% 
001  00285 |Loss: 2.108 | Acc: 27.371% 
001  00286 |Loss: 2.107 | Acc: 27.412% 
001  00287 |Loss: 2.106 | Acc: 27.409% 
001  00288 |Loss: 2.105 | Acc: 27.441% 
001  00289 |Loss: 2.103 | Acc: 27.482% 
001  00290 |Loss: 2.101 | Acc: 27.505% 
001  00291 |Loss: 2.100 | Acc: 27.537% 
001  00292 |Loss: 2.099 | Acc: 27.534% 
001  00293 |Loss: 2.098 | Acc: 27.546% 
001  00294 |Loss: 2.097 | Acc: 27.586% 
001  00295 |Loss: 2.095 | Acc: 27.611% 
001  00296 |Loss: 2.093 | Acc: 27.639% 
001  00297 |Loss: 2.092 | Acc: 27.675% 
001  00298 |Loss: 2.090 | Acc: 27.703% 
001  00299 |Loss: 2.089 | Acc: 27.733% 
001  00300 |Loss: 2.088 | Acc: 27.755% 
001  00301 |Loss: 2.086 | Acc: 27.798% 
001  00302 |Loss: 2.085 | Acc: 27.843% 
001  00303 |Loss: 2.084 | Acc: 27.849% 
001  00304 |Loss: 2.083 | Acc: 27.876% 
001  00305 |Loss: 2.082 | Acc: 27.894% 
001  00306 |Loss: 2.080 | Acc: 27.934% 
001  00307 |Loss: 2.079 | Acc: 27.985% 
001  00308 |Loss: 2.077 | Acc: 28.013% 
001  00309 |Loss: 2.076 | Acc: 28.031% 
001  00310 |Loss: 2.075 | Acc: 28.085% 
001  00311 |Loss: 2.073 | Acc: 28.125% 
001  00312 |Loss: 2.072 | Acc: 28.143% 
001  00313 |Loss: 2.071 | Acc: 28.152% 
001  00314 |Loss: 2.070 | Acc: 28.167% 
001  00315 |Loss: 2.068 | Acc: 28.189% 
001  00316 |Loss: 2.068 | Acc: 28.224% 
001  00317 |Loss: 2.066 | Acc: 28.248% 
001  00318 |Loss: 2.065 | Acc: 28.302% 
